Ville1,Ville2,Distance,Vitesse,Statut
10,54,314,113,utilisable
10,61,229,66,utilisable
10,68,84,112,utilisable
10,71,206,73,utilisable
10,75,53,88,utilisable
10,76,384,90,utilisable
10,81,95,61,non_utilisable
10,94,120,118,utilisable
10,97,114,70,utilisable
10,99,468,102,non_utilisable
11,19,421,100,non_utilisable
11,20,82,72,utilisable
11,27,391,84,non_utilisable
11,38,499,66,utilisable
11,48,194,114,utilisable
11,91,320,110,utilisable
11,95,104,61,utilisable
11,99,138,114,utilisable
12,32,102,126,non_utilisable
12,54,65,64,non_utilisable
12,61,281,63,utilisable
12,90,248,89,non_utilisable
12,99,139,85,utilisable
13,36,223,111,utilisable
13,42,210,75,utilisable
13,44,267,70,utilisable
13,46,469,95,utilisable
13,48,301,76,utilisable
13,69,150,74,utilisable
13,72,177,105,utilisable
13,78,412,80,utilisable
13,81,236,79,utilisable
13,83,387,107,non_utilisable
14,21,180,95,non_utilisable
14,34,294,96,utilisable
14,42,250,91,utilisable
14,52,339,119,non_utilisable
14,62,106,101,utilisable
14,85,319,100,utilisable
15,36,189,90,utilisable
15,49,157,96,utilisable
15,58,420,69,utilisable
15,67,272,121,utilisable
15,70,83,77,utilisable
15,85,115,98,non_utilisable
15,98,158,121,non_utilisable
16,41,440,92,utilisable
16,49,158,98,utilisable
16,53,99,97,non_utilisable
16,73,466,66,utilisable
16,77,307,126,utilisable
16,91,414,80,utilisable
16,97,55,72,non_utilisable
17,25,453,130,utilisable
17,37,428,97,utilisable
17,52,403,90,utilisable
17,56,304,61,utilisable
17,66,475,66,utilisable
17,92,199,129,utilisable
18,21,472,93,utilisable
18,30,452,72,utilisable
18,34,141,104,utilisable
18,42,205,101,utilisable
18,47,56,122,non_utilisable
18,56,405,114,utilisable
18,57,400,106,utilisable
18,59,367,100,utilisable
18,63,188,87,non_utilisable
18,65,393,110,utilisable
18,73,390,95,utilisable
18,76,266,93,utilisable
18,86,120,61,utilisable
18,96,314,104,utilisable
19,21,436,83,utilisable
19,38,384,65,utilisable
19,39,316,75,utilisable
19,67,358,123,non_utilisable
19,84,244,96,non_utilisable
20,28,137,91,utilisable
20,39,240,124,non_utilisable
20,49,304,111,utilisable
20,60,110,63,non_utilisable
20,72,80,71,utilisable
20,82,159,118,utilisable
20,88,191,85,utilisable
21,34,381,78,utilisable
21,65,209,71,utilisable
21,66,223,84,utilisable
21,71,393,92,utilisable
21,72,169,123,utilisable
21,83,358,91,utilisable
21,84,496,69,utilisable
21,88,280,76,utilisable
21,91,347,113,utilisable
22,23,227,85,utilisable
22,25,399,128,non_utilisable
22,37,396,114,utilisable
22,42,130,106,utilisable
22,43,299,77,non_utilisable
22,49,216,112,utilisable
22,80,199,78,non_utilisable
22,83,327,116,utilisable
22,91,203,96,utilisable
22,97,446,66,non_utilisable
23,27,446,75,utilisable
23,31,428,87,non_utilisable
23,34,188,113,utilisable
23,35,298,80,non_utilisable
23,44,55,123,utilisable
23,47,75,106,utilisable
23,55,429,115,utilisable
23,59,159,64,utilisable
23,69,261,93,utilisable
23,77,98,89,utilisable
23,79,277,106,non_utilisable
23,91,364,109,utilisable
23,95,352,76,utilisable
24,41,452,110,utilisable
24,51,269,69,utilisable
24,52,490,118,utilisable
24,73,217,90,utilisable
24,80,318,109,non_utilisable
24,93,425,63,utilisable
24,98,75,124,utilisable
25,26,149,120,utilisable
25,35,472,92,utilisable
25,53,265,87,non_utilisable
25,56,426,68,utilisable
25,57,219,96,utilisable
25,58,247,62,utilisable
25,63,156,124,non_utilisable
25,69,241,108,utilisable
25,70,109,61,non_utilisable
25,91,59,102,utilisable
26,40,102,78,utilisable
26,46,277,89,utilisable
26,51,423,125,utilisable
26,54,82,119,utilisable
26,58,484,113,utilisable
26,68,110,119,non_utilisable
26,74,372,118,utilisable
26,80,462,106,utilisable
26,84,441,85,utilisable
26,85,411,99,utilisable
26,93,134,94,utilisable
27,33,339,113,utilisable
27,39,459,81,utilisable
27,64,332,111,utilisable
27,66,268,85,utilisable
27,74,388,120,utilisable
27,79,488,97,utilisable
27,88,90,83,non_utilisable
27,89,412,76,utilisable
28,48,434,104,utilisable
28,60,327,72,utilisable
28,73,200,104,utilisable
28,85,313,90,non_utilisable
28,89,205,61,utilisable
28,97,131,122,utilisable
29,49,324,76,utilisable
29,51,235,115,utilisable
29,63,111,82,utilisable
29,66,83,79,utilisable
29,91,305,121,utilisable
30,52,432,110,non_utilisable
30,65,258,116,utilisable
30,69,184,98,non_utilisable
30,71,169,65,utilisable
30,85,316,79,utilisable
30,87,210,75,non_utilisable
30,91,220,74,utilisable
31,34,304,61,utilisable
31,36,386,97,utilisable
31,47,98,124,utilisable
31,52,272,83,non_utilisable
31,56,268,82,utilisable
31,81,77,115,utilisable
31,93,62,93,utilisable
31,98,303,91,utilisable
32,37,362,93,utilisable
32,43,418,119,utilisable
32,63,228,66,non_utilisable
32,93,164,71,utilisable
32,98,344,93,utilisable
33,56,395,61,utilisable
33,65,378,98,utilisable
33,83,172,72,utilisable
33,94,464,104,utilisable
34,40,221,64,utilisable
34,42,206,69,utilisable
34,79,152,106,non_utilisable
34,87,456,81,utilisable
34,90,89,113,utilisable
35,39,158,84,non_utilisable
35,61,68,115,utilisable
35,70,495,120,utilisable
35,75,290,104,non_utilisable
35,86,305,127,non_utilisable
35,94,386,81,utilisable
36,45,83,96,non_utilisable
36,46,253,95,utilisable
36,51,408,65,utilisable
36,52,67,88,utilisable
36,56,170,64,utilisable
36,62,308,112,utilisable
36,75,205,126,non_utilisable
36,87,72,112,non_utilisable
36,92,201,99,utilisable
36,97,276,109,utilisable
37,63,413,91,utilisable
37,81,331,82,utilisable
37,83,246,66,utilisable
37,99,107,61,utilisable
38,77,297,89,non_utilisable
38,86,244,119,utilisable
38,93,424,73,utilisable
38,95,287,73,non_utilisable
39,47,400,77,utilisable
39,49,98,123,utilisable
39,55,344,72,utilisable
39,63,412,119,utilisable
39,66,454,61,non_utilisable
39,93,492,104,utilisable
39,98,336,105,utilisable
40,42,411,124,utilisable
40,43,70,105,utilisable
40,52,491,119,utilisable
40,53,203,92,utilisable
40,98,288,124,utilisable
41,54,271,104,non_utilisable
41,57,429,71,non_utilisable
41,58,418,68,utilisable
41,59,431,91,non_utilisable
41,73,95,95,utilisable
41,80,472,130,utilisable
41,81,272,62,utilisable
41,90,136,88,non_utilisable
41,94,379,67,utilisable
42,51,132,97,utilisable
42,56,490,104,utilisable
42,58,410,90,utilisable
42,59,221,118,non_utilisable
42,68,460,106,utilisable
42,93,356,80,utilisable
43,46,113,72,utilisable
43,52,243,102,non_utilisable
43,70,405,87,utilisable
43,77,280,91,utilisable
43,96,59,106,utilisable
44,46,263,109,utilisable
44,55,256,117,utilisable
44,71,278,64,non_utilisable
44,79,401,121,utilisable
44,85,60,115,utilisable
44,86,417,73,utilisable
44,98,364,117,utilisable
45,58,360,114,utilisable
45,72,269,118,utilisable
45,74,297,96,non_utilisable
45,82,468,104,utilisable
45,84,77,117,utilisable
45,85,454,97,utilisable
46,47,129,130,utilisable
46,63,422,111,non_utilisable
46,76,194,78,utilisable
46,84,447,125,utilisable
47,65,496,75,utilisable
47,71,356,83,utilisable
47,83,77,90,non_utilisable
47,84,398,114,utilisable
47,85,417,96,utilisable
47,99,180,72,utilisable
48,49,200,86,utilisable
48,51,55,91,utilisable
48,67,235,95,utilisable
48,75,460,99,utilisable
48,81,122,93,utilisable
48,98,410,86,utilisable
48,99,200,114,utilisable
49,59,475,88,utilisable
49,61,94,112,utilisable
49,71,347,96,utilisable
49,79,303,81,non_utilisable
49,80,150,71,utilisable
49,95,154,105,utilisable
49,99,204,79,utilisable
50,54,101,123,utilisable
50,69,197,125,utilisable
50,71,420,70,utilisable
51,70,385,101,non_utilisable
51,77,443,84,utilisable
51,84,456,118,utilisable
51,91,393,84,utilisable
51,94,371,106,utilisable
51,97,487,118,utilisable
52,66,126,118,non_utilisable
52,74,205,123,non_utilisable
52,77,229,80,utilisable
52,90,305,99,utilisable
52,96,110,124,utilisable
53,58,292,130,utilisable
53,70,375,127,utilisable
53,91,159,96,utilisable
54,63,369,74,non_utilisable
54,79,276,61,utilisable
54,87,406,118,utilisable
54,94,311,67,utilisable
55,82,185,127,utilisable
55,83,76,112,utilisable
55,86,77,71,utilisable
55,94,437,77,utilisable
56,57,147,63,utilisable
56,73,209,67,utilisable
56,80,418,62,utilisable
56,97,263,107,utilisable
57,60,459,127,non_utilisable
57,70,390,94,non_utilisable
57,89,327,68,utilisable
58,60,298,125,utilisable
58,66,442,73,utilisable
58,92,165,75,utilisable
58,96,349,99,utilisable
58,99,479,116,utilisable
59,62,396,95,utilisable
59,84,330,119,utilisable
59,86,430,66,utilisable
59,99,222,79,non_utilisable
60,64,401,117,non_utilisable
60,70,322,112,utilisable
60,84,276,81,utilisable
60,90,166,84,utilisable
60,95,356,70,utilisable
61,70,473,113,utilisable
61,96,176,128,utilisable
62,66,71,108,utilisable
62,70,282,128,utilisable
62,93,111,95,utilisable
62,95,182,103,utilisable
62,97,174,79,non_utilisable
63,65,64,87,utilisable
63,67,100,87,utilisable
64,84,130,104,non_utilisable
65,72,342,97,utilisable
65,93,408,61,utilisable
65,98,291,92,utilisable
66,78,296,128,non_utilisable
66,89,444,80,utilisable
67,84,489,123,non_utilisable
67,89,285,92,utilisable
67,92,192,99,utilisable
68,78,76,115,utilisable
68,81,242,79,utilisable
68,91,121,119,utilisable
68,94,431,61,non_utilisable
69,89,447,65,utilisable
70,76,73,113,utilisable
70,92,136,104,utilisable
71,74,479,60,utilisable
71,98,71,127,utilisable
72,91,142,97,non_utilisable
72,92,372,109,utilisable
72,96,444,107,utilisable
72,99,154,66,non_utilisable
73,81,76,60,utilisable
73,84,184,64,utilisable
73,88,262,68,utilisable
74,76,329,92,utilisable
74,97,91,70,utilisable
75,79,472,129,utilisable
75,81,335,85,utilisable
75,82,56,127,utilisable
75,85,490,80,utilisable
75,89,96,115,utilisable
75,94,221,93,utilisable
76,80,491,68,utilisable
76,82,97,86,utilisable
77,85,495,69,utilisable
78,88,303,96,non_utilisable
78,90,410,122,utilisable
78,94,269,120,utilisable
78,95,180,82,utilisable
78,96,305,76,utilisable
79,87,384,63,utilisable
79,89,312,85,non_utilisable
79,93,290,121,utilisable
80,83,473,118,non_utilisable
81,86,51,72,utilisable
81,88,167,127,non_utilisable
82,83,215,61,non_utilisable
82,90,126,123,utilisable
82,94,375,89,utilisable
83,87,85,66,non_utilisable
83,90,168,99,utilisable
83,91,207,115,utilisable
83,92,284,92,utilisable
84,89,306,85,utilisable
84,92,151,89,utilisable
85,95,456,128,non_utilisable
86,91,216,128,utilisable
86,95,129,75,utilisable
89,92,371,67,utilisable
89,94,443,61,utilisable
90,92,444,94,utilisable
90,96,186,74,utilisable
91,96,377,90,utilisable
93,99,184,123,utilisable
95,96,395,72,utilisable
96,97,484,73,non_utilisable
